"","subject","navigationMean","headerSizeAvg","timeToFirstByteAvg","fetchTimeAvg","downloadTimeAvg","totalTimeAvg","navigationMean.1","headerSizeNormalized","timeToFirstByteNormalized","fetchTimeNormalized","downloadTimeNormalized","totalTimeNormalized","batteryStatsAvg"
"fetchTime12","http-192-168-100-103-9191-local_websites-www-github-com",0.324438590655829,325.272727272727,12.6363636363636,122.381818181818,52.5,65.1363636363636,0.324438590655829,0.765673175745118,0.260518487037824,0.27640319956616,0.153803587122815,0.165794503807226,39.2702465454545
"fetchTime4","http-192-168-100-103-9191-local_websites-www-automattic-com",0.329508622186925,342,18.8363636363636,61.6090909090909,17.1545454545455,35.9909090909091,0.329508622186925,0.954779033915725,0.550361240968976,0.0498237527114968,0.0272452068617558,0.065333876476671,37.0973650909091
"fetchTime27","http-192-168-100-103-9191-local_websites-www-wordpress-com",0.340037183171356,328,12.6454545454545,128.054545454545,56.1363636363636,68.7818181818182,0.340037183171356,0.79650565262076,0.26094347641309,0.297552874186551,0.166823996614694,0.178359916021684,48.2816683636364
"fetchTime9","http-192-168-100-103-9191-local_websites-www-fandom-com",0.346889525684092,339,12.7818181818182,96.6727272727273,58.9909090909091,71.7727272727273,0.346889525684092,0.920863309352518,0.267318317042074,0.180551789587852,0.177045018065818,0.188669194372199,41.0292589090909
"fetchTime21","http-192-168-100-103-9191-local_websites-www-ria-ru",0.357733891278793,321.636363636364,16.8,126.081818181818,50.3363636363636,67.1363636363636,0.357733891278793,0.724563206577595,0.455163620909477,0.290197939262473,0.146056443475147,0.172688246169273,45.2619818181818
"fetchTime20","http-192-168-100-103-9191-local_websites-www-reverso-net",0.360354023081251,325.181818181818,24.8818181818182,76.7272727272727,14.9545454545455,39.8363636363636,0.360354023081251,0.76464542651593,0.832979175520612,0.10618899132321,0.0193678591191693,0.0785886629273337,46.7105923636364
"fetchTime14","http-192-168-100-103-9191-local_websites-www-hao123-com",0.384103543528961,325.272727272727,10.3090909090909,158.163636363636,92.5909090909091,102.9,0.384103543528961,0.765673175745118,0.151721206969826,0.409808839479393,0.297353601770776,0.295960893679692,52.0601367272727
"fetchTime17","http-192-168-100-103-9191-local_websites-www-meetup-com",0.389125038196919,339,15.0454545454545,117.954545454545,61.5818181818182,76.6272727272727,0.389125038196919,0.920863309352518,0.373140671483213,0.259896963123644,0.186322059828782,0.20540218719644,44.8560261818182
"fetchTime5","http-192-168-100-103-9191-local_websites-www-bankofamerica-com",0.427941080446237,346,15.2090909090909,121.563636363636,74.8545454545455,90.0636363636364,0.427941080446237,1,0.380790480237994,0.273352765726681,0.233846554474138,0.251715601792373,42.0217232727273
"fetchTime24","http-192-168-100-103-9191-local_websites-www-theverge-com",0.432765807706287,327.090909090909,18.9909090909091,152.036363636364,65.5272727272727,84.5181818181818,0.432765807706287,0.786228160328879,0.557586060348491,0.386964479392625,0.20044920412747,0.232601134333971,42.6057087272727
"fetchTime2","http-192-168-100-103-9191-local_websites-www-aliyun-com",0.632276592490701,339,21.8636363636364,181.109090909091,162.854545454545,163.354545454545,0.632276592490701,0.920863309352518,0.691882702932427,0.495356561822126,0.548940464177598,0.504339924168834,42.1158534545455
"fetchTime11","http-192-168-100-103-9191-local_websites-www-g-page",0.761984350907428,335,13.8272727272727,262.590909090909,272.163636363636,271.936363636364,0.761984350907428,0.875642343268243,0.31619209519762,0.799145878524946,0.940333973503467,0.878607464042867,37.398456
"fetchTime7","http-192-168-100-103-9191-local_websites-www-dailymail-co-uk",0.995477903391572,344,28.4545454545455,316.463636363636,288.827272727273,307.154545454545,0.995477903391572,0.977389516957862,1,1,1,1,58.1183050909091
